SMILES,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT
F.[Na].[MgH2].O=[Si]=O,129.401,-1.7629,23.928,6,2,0,6,0,29,0,0,0,0,34.14,74.8141831876374,-6.66666663888889e-09,34.5293250129808
O=[I](=O)c1ccccc1,236.008,2.0536,40.532,9,2,0,3,1,48,1,0,0,1,34.14,60.042740758079,3.12647268187731,243.020187289698
CCO[P](=S)(OCC)SC[S](=O)CC,276.385,2.7432,68.6784,14,5,0,7,8,86,0,0,0,0,35.53,97.6952008703683,4.08335042726609,212.225559428699
Cc1ccc(O)cc1C,122.167,2.00904,37.5808,9,1,1,1,0,48,1,0,0,1,20.23,54.9555211004862,3.17167803044092,215.807662054337
[Na+].CC1=NN(C(=O)C1N=Nc2cccc(c2)[S](=O)(=O)NCCc3ccccc3)c4cc(Cl)c(cc4Cl)[S]([O-])(=O)=O,632.483,1.2975,145.1007,40,9,1,16,9,204,3,0,1,4,160.76,262.922211347846,4.4099890789783e-06,1703.83917969988
OC(C1=CC=CC=C1)(C1=CC=CC=C1)C1CCNCC1,267.372,2.9221,81.4765,20,2,2,2,3,104,2,1,1,3,32.26,120.016414794215,2.06993014358858,492.359384875143
CCCCC1(CC=C)C(=O)NC(=O)NC1=O,224.26,1.1051,58.4534,16,3,2,5,5,88,0,1,1,1,75.27,94.2775286534295,2.95773472169211,316.121376570484
Clc1ccc(NC(=O)CBr)c(c1)C(=O)c2ccccc2Cl,387.06,4.5578,88.7602,21,2,1,6,4,108,2,0,0,2,46.17,139.930310111851,2.46830465930561,703.823014851447
CC(C)CC(NC(=O)C(N)CC1=CNC2=C1C=CC=C2)C(=O)O,317.389,1.6532,88.9996,23,3,4,6,7,124,2,0,0,2,108.21,134.61373793472,2.02913697043007,693.203349984696
[H+].[Cl-].CNC,81.546,-3.0479,16.0957,4,1,1,2,0,28,0,0,0,0,12.03,34.2919469478791,-1.999999975e-08,9.60964047443681
[O--].[O--].[O--].[Y+3].[Y+3],225.809,-0.3614,2.0595,5,0,0,5,0,24,0,0,0,0,85.5,80.578062803838,0,4.85475297227334
CCCCCCC(O)CCCCCCCCCCC(O)=O,300.483,5.3033,88.5716000000001,21,2,2,3,16,126,0,0,0,0,57.53,130.693256577008,3.11917698745834,228.503328384844
CNC(=O)N(C)c1sc(nn1)C(C)(C)C,228.321,1.6112,61.4677,15,4,1,6,1,84,1,0,0,1,58.12,93.5053286748376,2.89463159051153,355.239471952935
CCOCN(C(=O)CCl)c1c(C)cccc1CC,269.772,3.12322,75.256,18,2,0,4,6,100,1,0,0,1,29.54,113.689107261306,3.14392934049942,406.780506873324
CN(C)C1=NC2=C(C=NC=N2)N=C1,175.195,0.4858,49.455,13,5,0,5,1,66,2,0,0,2,54.8,75.4813774740148,2.61987386972831,425.558829557009
CNC(=O)ON=C1C(C2)C(C#N)CC2C1Cl,241.678,1.48538,57.9337,16,4,1,6,1,86,0,2,2,2,74.48,98.3822041571877,2.10036998589398,376.750656648483
C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,414.63,5.50880000000001,117.9988,30,3,1,3,0,168,0,5,6,6,38.69,182.524480259992,1.33012758852775,746.390210295651
CC1=CC=C(OC2=CC=C(C)C=C2)C=C1,198.265,4.09574,62.432,15,1,0,1,2,76,2,0,0,2,9.23,90.3319267838611,2.1467113756182,382.400809080489
