SMILES,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT,logS
[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,392.51,3.9581,102.4454,23,0,0,2,17,142,0,0,0,0,0,158.520600585008,0,210.377334085253,-3.6161271205
O=C1Nc2cccc3cccc1c23,169.183,2.4055,51.9012,13,1,1,2,0,62,2,0,1,3,29.1,75.1835628957514,2.58299639365703,511.229247715497,-3.2547670983
Clc1ccc(C=O)cc1,140.569,2.1525,36.8395,9,1,0,2,1,46,1,0,0,1,17.07,58.261133560819,3.0097819477866,202.661065102098,-2.1770779444
[Zn++].CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O.CC(c4ccccc4)c5cc(C(C)c6ccccc6)c(O)c(c5)C([O-])=O,756.226,8.11610000000001,200.710599999999,53,6,2,7,10,264,6,0,0,6,120.72,323.755433698749,2.3229628802663e-07,1964.64866582883,-3.9244090954
C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3,422.525,2.4854,119.076,31,6,0,6,12,164,2,4,4,6,56.6,183.183268457034,1.08442731697182,769.899934125646,-4.6620645831
Cc1cccc(C=C)c1,118.179,2.63802,41.27,9,0,0,0,1,46,1,0,0,1,0,55.8366264305025,3.07076068178357,211.03322454352,-3.1231503041
CCC1CCC(CCC(O)=O)C1,170.252,2.6775,47.9918,12,1,1,2,4,70,0,1,1,1,37.3,73.9736547561096,2.14583905675011,153.917569111704,-3.286116314
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,376.449,0.5284,96.4382,27,6,4,6,2,148,0,3,4,4,115.06,158.135541846148,1.7769779303753,755.770792036722,-2.6645485391
Fc1ccc(cc1)C(=O)c2ccc(F)cc2,218.202,3.1958,56.2325,16,1,0,3,2,80,2,0,0,2,17.07,91.3460323458538,2.31562769540868,452.960732751206,-4.3966521847
O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,342.391,3.4972,93.502,25,5,0,5,10,132,2,0,0,2,61.83,147.071714129342,1.44704964001212,582.150793266928,-4.595502564
